MATRICULA,COD_DISCIPLINA,COD_CURSO,NOTA,CARGA_HORARIA,ANO_SEMESTRE
110,TCC00302,31,97,32,20171
110,SEN00084,4,87,90,20172
110,SEN00080,4,93,60,20172
110,GLC00217,21,93,60,20172
110,GMA00019,56,71,60,20181
110,GLC00293,4,100,30,20181
110,TER00124,56,64,60,20172
110,GLE00398,21,90,60,20181
110,SSE00231,21,100,100,20172
110,GLC00293,4,95,30,20172
110,TER00036,56,75,60,20172
110,GLE00488,21,62,60,20172
110,SEN00082,4,0,60,20172
110,SEN00073,4,94,60,20181
110,GLC00207,21,85,70,20172
110,GLC00293,4,71,30,20171
110,GLC00217,21,95,60,20171
111,MAF00051,56,78,45,20181
111,GEO00015,56,94,60,20172
111,GMA00023,56,90,60,20171
111,GLE00506,21,69,60,20171
111,GAN00167,31,90,60,20171
111,TCC00316,31,65,64,20181
111,TER00064,56,100,80,20181
111,TEC00207,56,63,60,20181
111,SEN00116,4,60,60,20172
111,TCC00228,31,74,68,20172
112,GCL00065,21,72,60,20181
112,GAG00046,56,85,60,20181
112,GLC00217,21,68,60,20172
112,GBG00049,56,72,60,20181
112,GCL00065,21,100,60,20171
112,GLC00238,21,71,60,20172
112,TER00036,56,65,60,20181
112,TCC00287,31,83,64,20171
112,SEN00077,4,5,60,20181
112,GLE00484,21,60,60,20171
112,GLE00387,21,65,60,20172
112,TCC00286,31,86,64,20181
112,GLC00222,21,85,30,20172
112,GLE00417,21,100,60,20171
112,SEN00084,4,97,90,20181
112,GCL00079,21,83,60,20181
112,SEN00182,4,0,60,20171
112,GLC00213,21,60,60,20181
112,TCC00313,31,60,64,20181
112,DGP00037,103,100,60,20181
112,GMA00022,56,68,60,20172
112,GEO00012,56,80,45,20181
112,GCL00079,21,100,60,20171
112,GCL00078,21,0,60,20181
112,SEN00067,4,66,60,20172
112,SEN00078,4,63,60,20181
112,GBG00049,56,84,60,20172
112,SEN00104,4,60,60,20171
112,GCL00078,21,78,60,20172
112,SFP00087,21,100,60,20181
112,GAN00146,4,0,60,20181
112,GAN00167,31,0,60,20172
112,GLC00206,21,73,60,20172
112,TCC00326,56,35,60,20171
112,TER00033,56,100,30,20181
112,SEN00076,4,92,60,20172
112,DGP00045,103,80,60,20181
113,SEN00221,4,80,60,20172
113,GAN00145,4,0,60,20171
113,TER00030,56,93,30,20181
113,GEO00014,56,77,60,20171
114,GCL00065,21,60,60,20172
114,GLE00387,21,0,60,20172
114,DGP00018,103,71,60,20171
114,SEN00064,4,65,60,20172
114,GEO00012,56,85,45,20181
114,GMA00019,56,32,60,20171
114,SEN00083,4,66,60,20171
114,GLC00223,21,78,60,20181
114,SEN00081,4,60,60,20181
114,SEN00118,4,90,60,20172
114,GMA00022,31,62,60,20172
114,GLC00215,21,86,60,20171
114,GGM00127,31,70,60,20181
114,TDT00076,56,16,60,20171
114,SGE00012,4,0,30,20172
114,GCL00079,21,92,60,20172
114,DGP00010,103,76,60,20181
114,SEN00158,4,69,60,20171
115,GET00117,4,5,60,20181
115,GLE00455,21,85,60,20171
115,STC00116,4,0,60,20172
115,SSE00230,21,100,100,20171
115,SFP00087,21,90,60,20172
115,TCC00326,56,87,60,20171
115,TCC00290,31,74,32,20181
115,SEN00158,4,78,60,20171
115,DGP00033,103,95,60,20172
115,GET00122,31,72,68,20171
115,GCL00064,21,78,60,20172
115,SFP00087,21,100,60,20181
115,SGE00018,4,0,240,20181
115,GEO00014,56,81,60,20172
115,SEN00156,4,75,60,20172
115,GGM00159,56,2,60,20171
115,TCC00305,31,65,64,20181
115,GCL00066,21,24,60,20172
115,SEN00068,4,15,60,20171
115,SGE00018,4,90,240,20172
115,GCL00090,21,0,60,20172
115,SEN00077,4,72,60,20181
115,GCL00090,21,0,60,20172
115,GHT00313,4,100,60,20172
115,DGP00046,103,80,60,20181
115,GHT00313,4,78,60,20181
116,GCL00078,21,98,60,20181
116,SEN00190,4,0,60,20171
116,TER00036,56,65,60,20171
116,GLC00203,21,85,60,20172
116,SEN00142,4,75,60,20181
116,GLC00212,21,26,60,20181
116,TER00062,56,80,60,20172
116,SGE00013,4,0,30,20181
116,TCC00296,31,76,64,20181
116,SEN00074,4,79,60,20181
116,SEN00078,4,67,60,20172
116,TER00032,56,88,30,20172
116,GLE00415,21,88,60,20181
116,SGE00012,4,0,30,20172
116,GLC00279,21,70,60,20172
116,TCC00325,56,68,60,20172
116,GMA00019,31,5,60,20171
